BASIC INDUSTRIES	2008	-42.05233135508782
CAPITAL GOODS	2008	-46.35972350788876
CONSUMER DURABLES	2008	-39.96945380810806
CONSUMER NON-DURABLES	2008	-37.62401503933001
CONSUMER SERVICES	2008	-41.30329365132224
ENERGY	2008	-47.17711109306387
FINANCE	2008	-30.366170647208765
HEALTH CARE	2008	-38.56370713209668
MISCELLANEOUS	2008	-42.8069630079326
N/A	2008	-36.9537074605868
PUBLIC UTILITIES	2008	-31.66783542990232
S CAR-MART, INC."	2008	12.642741939624171
TECHNOLOGY	2008	-48.4330275397795
TRANSPORTATION	2008	-34.97354060280178
BASIC INDUSTRIES	2009	82.32339915664309
CAPITAL GOODS	2009	75.65463112623861
CONSUMER DURABLES	2009	73.18101188638792
CONSUMER NON-DURABLES	2009	77.22894609583726
CONSUMER SERVICES	2009	64.33753630036003
ENERGY	2009	50.41341026415404
FINANCE	2009	31.339268650773704
HEALTH CARE	2009	125.27278062820088
MISCELLANEOUS	2009	103.57227602560832
N/A	2009	31.468671790792946
PUBLIC UTILITIES	2009	46.63600710288669
S CAR-MART, INC."	2009	91.76985288826494
TECHNOLOGY	2009	80.44534910384904
TRANSPORTATION	2009	27.586187688720308
BASIC INDUSTRIES	2010	32.89314127294196
CAPITAL GOODS	2010	34.97814691343652
CONSUMER DURABLES	2010	22.68600417747678
CONSUMER NON-DURABLES	2010	27.059643917899955
CONSUMER SERVICES	2010	27.853167787763038
ENERGY	2010	34.1020160439423
FINANCE	2010	7768.110407739572
HEALTH CARE	2010	30.98827500050622
MISCELLANEOUS	2010	28.155728885901095
N/A	2010	6.554604687107602
PUBLIC UTILITIES	2010	22.90378154116901
S CAR-MART, INC."	2010	6.237740944938983
TECHNOLOGY	2010	30.927742588478534
TRANSPORTATION	2010	20.023407305674315
BASIC INDUSTRIES	2011	-11.342341652346883
CAPITAL GOODS	2011	-14.773490578482827
CONSUMER DURABLES	2011	-1.329396632643325
CONSUMER NON-DURABLES	2011	-2.00783738849609
CONSUMER SERVICES	2011	61.57545096572189
ENERGY	2011	4.896609332079685
FINANCE	2011	-8.940594348660127
HEALTH CARE	2011	-5.861907302733634
MISCELLANEOUS	2011	-7.469294976934585
N/A	2011	-4.657026187996948
PUBLIC UTILITIES	2011	-5.004189759623763
S CAR-MART, INC."	2011	40.78332882711081
TECHNOLOGY	2011	-10.729366394278824
TRANSPORTATION	2011	-18.546914515944064
BASIC INDUSTRIES	2012	8.18719620912895
CAPITAL GOODS	2012	25.27399748915494
CONSUMER DURABLES	2012	20.062440497837635
CONSUMER NON-DURABLES	2012	18.242128510125546
CONSUMER SERVICES	2012	16.08280012871171
ENERGY	2012	31.56888724840567
FINANCE	2012	23.32061542968555
HEALTH CARE	2012	22.960287400188374
MISCELLANEOUS	2012	201.05138904909865
N/A	2012	7.955658712554068
PUBLIC UTILITIES	2012	1705.873352457103
S CAR-MART, INC."	2012	4.459911063172526
TECHNOLOGY	2012	17.308872383517706
TRANSPORTATION	2012	8.892613142205342
BASIC INDUSTRIES	2013	18.852144995027842
CAPITAL GOODS	2013	45.55907824457035
CONSUMER DURABLES	2013	47.2566539087621
CONSUMER NON-DURABLES	2013	34.583783892838134
CONSUMER SERVICES	2013	65.25112743811988
ENERGY	2013	22.17551182728076
FINANCE	2013	33.169759190557556
HEALTH CARE	2013	54.91895750738129
MISCELLANEOUS	2013	44.46941949770432
N/A	2013	4.074856935243009
PUBLIC UTILITIES	2013	26.258098480841483
S CAR-MART, INC."	2013	3.050268457694048
TECHNOLOGY	2013	52.04524937082534
TRANSPORTATION	2013	50.104813572041145
BASIC INDUSTRIES	2014	-3.3489674312349793
CAPITAL GOODS	2014	3.8197070801351716
CONSUMER DURABLES	2014	16.761654979475075
CONSUMER NON-DURABLES	2014	7.717444070893462
CONSUMER SERVICES	2014	85.85595147385682
ENERGY	2014	-17.62667916807674
FINANCE	2014	36.754941424074225
HEALTH CARE	2014	191.7961675889496
MISCELLANEOUS	2014	9.231948948400428
N/A	2014	1575.7774852166694
PUBLIC UTILITIES	2014	807.0802969382705
S CAR-MART, INC."	2014	27.216401889457053
TECHNOLOGY	2014	132.39928427091715
TRANSPORTATION	2014	11.174482567195252
BASIC INDUSTRIES	2015	123.46056027875882
CAPITAL GOODS	2015	441.90653329096205
CONSUMER DURABLES	2015	-1.6056145301652507
CONSUMER NON-DURABLES	2015	-3.6623098472700293
CONSUMER SERVICES	2015	1823.9544799991372
ENERGY	2015	-30.821732941665857
FINANCE	2015	157.63435636134074
HEALTH CARE	2015	201.0424919658267
MISCELLANEOUS	2015	2.3770954020175195
N/A	2015	-8.24384418430919
PUBLIC UTILITIES	2015	159.6907491091506
S CAR-MART, INC."	2015	-50.046789478546664
TECHNOLOGY	2015	26.51019801453691
TRANSPORTATION	2015	-22.681289206000095
BASIC INDUSTRIES	2016	47.53607116736649
CAPITAL GOODS	2016	27.64041031331983
CONSUMER DURABLES	2016	20.70907791019452
CONSUMER NON-DURABLES	2016	14.055020071274834
CONSUMER SERVICES	2016	12.694307397417596
ENERGY	2016	76.29689950921383
FINANCE	2016	29.676508036977264
HEALTH CARE	2016	-9.459155322489396
MISCELLANEOUS	2016	17.063009317193536
N/A	2016	113.08319873708305
PUBLIC UTILITIES	2016	21.722789162222167
S CAR-MART, INC."	2016	59.84654241327888
TECHNOLOGY	2016	351.2425808392193
TRANSPORTATION	2016	42.138729208210364
BASIC INDUSTRIES	2017	16.693610905657515
CAPITAL GOODS	2017	21.087348832789758
CONSUMER DURABLES	2017	113.27073391159108
