BASIC INDUSTRIES	2011	1853541.4648080438	42.74221191454349
CAPITAL GOODS	2011	1284086.5076668286	28.76126210698626
CONSUMER DURABLES	2015	414722.6800039163	37.32325930232277
CONSUMER NON-DURABLES	2015	1153986.1556362363	40.54247894535282
CONSUMER SERVICES	2013	1264092.8977040853	63.830810629364876
ENERGY	2013	1556606.3019915302	229.78235884024707
FINANCE	2015	848334.0137817427	94.0302458374058
HEALTH CARE	2010	1274038.1494516893	67.35590235687742
HEALTH CARE	2018	901967.2047827973	32.53066763087502
MISCELLANEOUS	2011	1331125.1239562996	31.80113322635923
N/A	2013	2013516.7337139875	26.85290958377613
PUBLIC UTILITIES	2008	1738225.6380328033	26.948917721503943
PUBLIC UTILITIES	2016	1333297.7175428031	142.92556626782155
S CAR-MART, INC."	2015	45470.23809523809	44.629246106223455
TECHNOLOGY	2009	3019629.53036149	19.061632398356217
TECHNOLOGY	2017	1507362.0885604273	38.17259705471394
TRANSPORTATION	2009	1773745.552798456	419.3358372236049
TRANSPORTATION	2017	964557.6489088074	81.58107063923603
BASIC INDUSTRIES	2014	1460847.2303746059	109.43928937069494
CAPITAL GOODS	2014	910038.1344826252	42.847836783745514
CONSUMER DURABLES	2010	580089.7082397447	22.782628657005862
CONSUMER DURABLES	2018	513668.4432137994	40.22875828275586
CONSUMER NON-DURABLES	2010	1463892.8238465996	24.840896372817692
CONSUMER NON-DURABLES	2018	1223517.1754731748	42.52822902009216
CONSUMER SERVICES	2008	1881454.7326757573	52.16818656102594
CONSUMER SERVICES	2016	1112267.3668587608	60.27532540249641
ENERGY	2008	3409627.3955240925	235.38270933168656
ENERGY	2016	2571812.6189030493	87.5611962794683
FINANCE	2010	1691572.9323207105	67.87852684668448
FINANCE	2018	702434.5736126429	41.319502236776664
HEALTH CARE	2013	997553.9550747435	57.88317612298831
MISCELLANEOUS	2014	1156757.2736345294	43.69146765199024
N/A	2008	1410264.5767135532	21.774278075637277
N/A	2016	241883.8371782204	38.73383290962844
PUBLIC UTILITIES	2011	1756970.3993272914	140.10289137341857
S CAR-MART, INC."	2010	67237.69841269842	24.944761874183776
S CAR-MART, INC."	2018	48365.85365853659	56.16908543284347
TECHNOLOGY	2012	2423862.7626984604	23.675929033844923
TRANSPORTATION	2012	1043952.4825584356	76.24410309342095
BASIC INDUSTRIES	2013	1514508.1694624298	133.94620746195034
CAPITAL GOODS	2013	983379.6914194732	36.53692673403182
CONSUMER DURABLES	2009	718469.6899621905	17.71295357276091
CONSUMER DURABLES	2017	450745.26709750283	39.77547724631391
CONSUMER NON-DURABLES	2009	1620150.3103923097	19.02873327709167
CONSUMER NON-DURABLES	2017	1176367.553558475	41.04950327447033
CONSUMER SERVICES	2015	1074200.8057156815	63.297843448737794
ENERGY	2015	2345714.9568821136	172.43978566501906
FINANCE	2009	2593964.9553715657	27.37901028555074
FINANCE	2017	751259.9255644521	48.91317353853031
HEALTH CARE	2012	1001473.7092140982	45.34315591327964
MISCELLANEOUS	2013	1039611.5727112945	37.39657021854224
N/A	2015	259230.25052654915	26.007607673732124
PUBLIC UTILITIES	2010	1715565.6861383242	71.36554434999552
PUBLIC UTILITIES	2018	1242742.8820936237	51.84418011127061
S CAR-MART, INC."	2009	119188.49206349206	18.41162697474162
S CAR-MART, INC."	2017	62001.99203187251	39.505418412713894
TECHNOLOGY	2011	2730911.5365790296	28.03622149955135
TRANSPORTATION	2011	1216787.8362632352	91.58842951034882
BASIC INDUSTRIES	2012	1552641.0886761926	42.37323823965484
CAPITAL GOODS	2012	1072147.0621196895	29.118293446691315
CONSUMER DURABLES	2008	782121.4943874864	22.300399868918348
CONSUMER DURABLES	2016	473338.27708963543	35.71892461263081
CONSUMER NON-DURABLES	2008	1845606.2231773154	23.501965095907476
CONSUMER NON-DURABLES	2016	1185084.7181747744	39.35617958431692
CONSUMER SERVICES	2014	1264233.5412438852	63.50436802750273
ENERGY	2014	1882700.0876855124	245.842023083636
FINANCE	2008	1581469.937793704	43.06860307518836
FINANCE	2016	951087.9098632522	62.69708493064569
HEALTH CARE	2011	1182663.0928938156	52.01636633416355
MISCELLANEOUS	2012	1152532.3998128865	30.11664922729685
N/A	2014	1775092.6669705668	27.43068640039456
PUBLIC UTILITIES	2009	1750958.0593834317	21.80063109904323
PUBLIC UTILITIES	2017	1146949.3197130484	122.12322188631454
S CAR-MART, INC."	2008	196708.30039525693	14.796205547016129
S CAR-MART, INC."	2016	75655.55555555556	31.630119043683248
TECHNOLOGY	2010	2931206.8650739426	22.288489315607425
TECHNOLOGY	2018	1628527.7993042716	43.86740957618967
TRANSPORTATION	2010	1322128.393111076	164.75943292272206
TRANSPORTATION	2018	876992.8761947099	38.687121291895146
BASIC INDUSTRIES	2015	1610008.7310607336	40.48498101082914
CAPITAL GOODS	2015	905871.6210360131	42.59790690495322
CONSUMER DURABLES	2011	590799.9302307751	23.224973608105962
CONSUMER NON-DURABLES	2011	1389254.33171042	27.683669930752195
CONSUMER SERVICES	2009	2073087.268813962	48.71813151583876
CONSUMER SERVICES	2017	1095181.063904712	77.38525064586466
ENERGY	2009	3219675.171129571	101.1828137893235
ENERGY	2017	2143303.0027406593	37.36079825035285
FINANCE	2011	1632986.1596900003	63.97813256615513
HEALTH CARE	2014	894184.5185422205	62.386282849862106
MISCELLANEOUS	2015	1017054.0527303811	45.02107041384567
N/A	2009	1608982.3736796537	17.986794361943016
N/A	2017	197900.90165114083	157.5960848995134
PUBLIC UTILITIES	2012	1595313.2300151174	132.73017037368965
